Artist,Track,Title,Position,Pitch,Notes
Charley Patton,1,Pony Blues,E,F,
Charley Patton,2,Spoonful Blues,Vestapol,E,
Charley Patton,3,Down the Dirt Road Blues,C,C#,
Charley Patton,4,Prayer of Death Part 1,Spanish,A,
Charley Patton,5,Prayer of Death Part 2,Spanish,A,
Charley Patton,6,Screamin' and Hollerin' the Blues,Spanish,A,
Charley Patton,7,Banty Rooster Blues,Spanish,Bb,
Charley Patton,8,Tom Rushen Blues,Spanish,A,
Charley Patton,9,It Won't Be Long,Spanish,A,
Charley Patton,10,Shake It and Break It,F,F,
Charley Patton,11,Pea Vine Blues,Spanish,A,
Charley Patton,12,Mississippi Boll Weevil Blues,Spanish,B -,
Charley Patton,13,"Lord, I'm Discouraged",Spanish,A,
Charley Patton,14,I'm Goin' Home,Spanish,A,
Charley Patton,15,Hammer Blues Take 1,Spanish,B,
Charley Patton,16,I Shall Not Be Moved,Spanish,B,
Charley Patton,17,High Water Everywhere Part 1,Spanish,B,
Charley Patton,18,High Water Everywhere Part 2,Spanish,B,
Charley Patton,19,I Shall Not Be Moved,Spanish,B,
Charley Patton,20,Rattlesnake Blues,E,F#,
Charley Patton,21,Going to Move to Alabama,E,F,
Charley Patton,22,Hammer Blues Take 2,Spanish,B,
Charley Patton,23,Joe Kirby,E,G,
Charley Patton,24,Frankie and Albert,E,F#,
Charley Patton,25,Devil Sent the Rain Blues,A,A#,
Charley Patton,26,Magnolia Blues,Spanish,B,
Charley Patton,27,Runnin' Wild Blues,E,F#,
Charley Patton,28,Some Happy Day,Spanish,B,
Charley Patton,29,Mean Black Moan,E,F#,
Charley Patton,30,Green River Blues,E,F#,
Charley Patton,31,Some of These Days I'll Be Gone,E,F#,
Charley Patton,32,Elder Green Blues Take 2,E,F,
Charley Patton,33,Jim Lee Part 1,E,F#,
Charley Patton,34,Jim Lee Part 2,E,F#,
Charley Patton,35,Mean Black Cat Blues,E,F#,
Charley Patton,36,Jesus Is a Dying-Bed Maker,Spanish,B,
Charley Patton,37,Elder Green Blues Take 2,E,F,
Charley Patton,38,When Your Way Gets Dark,Spanish,B -,
Charley Patton,39,Some of These Days I'll Be Gone Take 2,E,F# +,
Charley Patton,40,Heart Like Railroad Steel,Spanish,C,
